,,labels1
Anguilla,,0
Antigua and Barbuda,,0
Argentina,,0
Armenia,,2
Aruba,,0
Australia,,1
Austria,,-1
Bahamas,,0
Bahrain,,0
Barbados,,0
Belarus,,2
Belgium,,1
Belize,,0
Bermuda,,1
Brazil,,0
British Virgin Islands,,0
Brunei Darussalam,,0
Bulgaria,,2
Canada,,1
Cayman Islands,,0
Chile,,1
Colombia,,0
Costa Rica,,0
Croatia,,2
Cuba,,0
Cyprus,,1
Czech Republic,,2
Denmark,,1
Dominica,,0
Dominican Republic,,0
Ecuador,,0
Egypt,,0
El Salvador,,0
Estonia,,2
Fiji,,0
Finland,,1
France,,1
French Guiana,,0
Germany,,-1
Grenada,,0
Guadeloupe,,1
Guatemala,,0
Guyana,,0
Honduras,,0
Hong Kong SAR,,1
Hungary,,2
Iceland,,1
Iraq,,0
Ireland,,1
Israel,,1
Italy,,1
Japan,,1
Jordan,,0
Kazakhstan,,-1
Kuwait,,0
Kyrgyzstan,,0
Latvia,,2
Lithuania,,2
Luxembourg,,1
Malaysia,,0
Maldives,,0
Malta,,1
Martinique,,1
Mauritius,,0
Mexico,,0
Montenegro,,2
Montserrat,,0
Morocco,,0
Netherlands,,1
New Zealand,,1
Nicaragua,,0
Norway,,1
Occupied Palestinian Territory,,0
Panama,,0
Paraguay,,0
Peru,,0
Philippines,,0
Poland,,2
Portugal,,0
Puerto Rico,,1
Qatar,,0
Republic of Korea,,1
Republic of Moldova,,2
Reunion,,1
Rodrigues,,0
Romania,,2
Russian Federation,,2
Saint Kitts and Nevis,,0
Saint Lucia,,0
Saint Pierre and Miquelon,,1
Saint Vincent and Grenadines,,0
Serbia,,2
Seychelles,,0
Slovakia,,2
Slovenia,,-1
South Africa,,0
Spain,,1
Suriname,,0
Sweden,,1
Switzerland,,1
Syrian Arab Republic,,0
TFYR Macedonia,,2
Thailand,,0
Trinidad and Tobago,,0
Turkmenistan,,-1
Turks and Caicos Islands,,0
Ukraine,,2
United Kingdom,,1
United States of America,,1
Uruguay,,1
Venezuela (Bolivarian Republic of),,0
Virgin Islands (USA),,0