,label
Anguilla,-1
Antigua and Barbuda,0
Argentina,-1
Armenia,3
Aruba,-1
Australia,2
Austria,3
Bahamas,-1
Bahrain,1
Barbados,-1
Belarus,3
Belgium,2
Belize,1
Bermuda,2
Brazil,1
British Virgin Islands,0
Brunei Darussalam,-1
Bulgaria,3
Canada,2
Cayman Islands,-1
Chile,2
Colombia,1
Costa Rica,-1
Croatia,3
Cuba,-1
Cyprus,2
Czech Republic,3
Denmark,2
Dominica,0
Dominican Republic,0
Ecuador,-1
Egypt,-1
El Salvador,1
Estonia,3
Fiji,-1
Finland,2
France,2
French Guiana,1
Germany,3
Grenada,0
Guadeloupe,2
Guatemala,1
Guyana,-1
Honduras,1
Hong Kong SAR,2
Hungary,3
Iceland,2
Iraq,0
Ireland,2
Israel,2
Italy,2
Japan,2
Jordan,-1
Kazakhstan,3
Kuwait,-1
Kyrgyzstan,-1
Latvia,3
Lithuania,3
Luxembourg,2
Malaysia,1
Maldives,-1
Malta,2
Martinique,2
Mauritius,0
Mexico,1
Montenegro,3
Montserrat,0
Morocco,-1
Netherlands,2
New Zealand,2
Nicaragua,1
Norway,2
Occupied Palestinian Territory,0
Panama,-1
Paraguay,-1
Peru,-1
Philippines,1
Poland,3
Portugal,-1
Puerto Rico,2
Qatar,-1
Republic of Korea,2
Republic of Moldova,3
Reunion,2
Rodrigues,-1
Romania,3
Russian Federation,3
Saint Kitts and Nevis,-1
Saint Lucia,0
Saint Pierre and Miquelon,2
Saint Vincent and Grenadines,0
Serbia,3
Seychelles,0
Slovakia,3
Slovenia,3
South Africa,1
Spain,2
Suriname,-1
Sweden,2
Switzerland,2
Syrian Arab Republic,-1
TFYR Macedonia,3
Thailand,0
Trinidad and Tobago,1
Turkmenistan,-1
Turks and Caicos Islands,-1
Ukraine,3
United Kingdom,2
United States of America,2
Uruguay,2
Venezuela (Bolivarian Republic of),-1
Virgin Islands (USA),-1